index,user_id,gender,age_group,LSM_group1,share_your_home_with,including_yourself_how_many_people_do_you_share_your_home_with,do_to_try_to_stay_healthy,drives_you_to_have_a_healthy_lifestyle,eat_or_drink,steps_to_eat_drink_more_healthily,how_regularly_do_you_exercise,exercise_do_you_enjoy,do_to_help_you_sleep,before_you_go_to_sleep
24,3706940960.0,Male,25-34,Medium,"[""Partner / spouse""]",3.0,"[""Make sure I get enough sleep"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Drink lots of water / fluids""]","[""To set a good example for my family"", ""To manage a health / medical condition"", ""To lose / manage my weight""]","[""Halal""]","[""Checking / reading the ingredients in food / drink products""]",Once a week,"[""Running""]","[""Have warm milk""]","[""Watching TV""]"
25,868348195.0,Female,45+,Medium,"[""Partner / spouse""]",3.0,"[""Exercise regularly""]","[""To lose / manage my weight"", ""To make the most out of/enjoy life"", ""To set a good example for my family""]","[""High protein""]","[""Filling half my plate with vegetables""]",3+ times a week,"[""Swimming""]","[""No, none of these""]","[""Heavy meal""]"
26,3355585447.0,Male,25-34,High,"[""Parents""]",4.0,"[""Eat healthily"", ""Exercise regularly"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To make the most of treats / indulgent moments"", ""To manage a health / medical condition""]","[""Low sugar"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt""]","[""Checking nutritional value of the food / drink I purchase"", ""Snacking less often"", ""Checking / reading the ingredients in food / drink products"", ""Eating dessert less often""]",3+ times a week,"[""Cardio / Aerobics / Water aerobics"", ""Running""]","[""Other""]","[""Alcohol"", ""Heavy meal""]"
28,4717744772.0,Female,18-24,Medium,"[""Partner / spouse""]",2.0,"[""Take vitamin / other supplements"", ""Meditation / positive mindset methods"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""Have more energy""]","[""Low calorie""]","[""Eating out / ordering takeout less frequently""]",Few times a month,"[""Hiking""]","[""Meditate""]","[""Heavy meal"", ""Caffeine"", ""Alcohol""]"
30,5096753750.0,Female,25-34,High,"[""Partner / spouse""]",2.0,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Taking time to relax"", ""Eat healthily""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Low calorie"", ""Dairy free"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low cholesterol"", ""Flexitarian: eat meat but control the amount eaten"", ""High protein"", ""Low sugar"", ""Low salt"", ""Low / zero carb""]","[""Trying to have a variety of colors on my plate"", ""Eating out / ordering takeout less frequently"", ""Counting / tracking calories"", ""Intermittent fasting"", ""Shopping at places that have a wide selection of healthy options"", ""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions"", ""Checking nutritional value of the food / drink I purchase"", ""Eating out at places that have healthy options available"", ""Filling half my plate with vegetables"", ""Snacking less often""]",3+ times a week,"[""Circuit training/ HIIT"", ""Swimming"", ""Yoga/Pilates"", ""Cycling"", ""Aerobics"", ""Weights"", ""Cardio / Aerobics / Water aerobics"", ""Walking"", ""Strength training""]","[""Have a bath""]","[""Caffeine""]"
31,1288031297.0,Male,45+,High,"[""Children over 18 years old"", ""Parents""]",3.0,"[""Taking time to relax"", ""Take vitamin / other supplements""]","[""To make the most of treats / indulgent moments""]","[""None of the above""]","[""Eating out / ordering takeout less frequently""]",Never,,"[""No, none of these""]","[""Watching TV"", ""Browsing on my cell phone / tablet""]"
37,868296650.0,Female,18-24,Low,"[""Children under 18 years old""]",5+,"[""Meditation / positive mindset methods"", ""Make sure I get enough sleep""]","[""To make the most out of/enjoy life"", ""Have more energy"", ""To manage a health / medical condition""]","[""High protein""]","[""Shopping at places that have a wide selection of healthy options"", ""Checking / reading the ingredients in food / drink products""]",Never,,"[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Heavy meal""]"
38,2831120068.0,Female,45+,Medium,"[""Children over 18 years old""]",2.0,"[""Taking time to relax"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements"", ""Make sure I get enough sleep"", ""Eat healthily""]","[""Have more energy"", ""To support my family"", ""Feeling good about myself""]","[""None of the above""]","[""Watching the size of my portions""]",Never,,"[""Have a bath"", ""Take sleeping tablets"", ""Have warm milk""]","[""Caffeine""]"
39,261798720.0,Male,25-34,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Taking time to relax"", ""Exercise regularly"", ""Drink lots of water / fluids""]","[""To live longer"", ""Feeling good about myself"", ""To set a good example for my family""]","[""None of the above""]","[""Checking / reading the ingredients in food / drink products""]",3+ times a week,"[""Cardio / Aerobics / Water aerobics"", ""Running""]","[""No, none of these""]","[""No, none of these""]"
42,703002446.0,Female,45+,High,"[""Parents""]",3.0,"[""Exercise regularly"", ""Stress control methods"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Meditation / positive mindset methods"", ""Taking time to relax""]","[""To make the most of treats / indulgent moments"", ""Feeling good about myself"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low cholesterol"", ""Low calorie"", ""High protein""]","[""Shopping at places that have a wide selection of healthy options"", ""Cooking more meals at home"", ""Eating out at places that have healthy options available"", ""Snacking less often"", ""Watching the size of my portions""]",3+ times a week,"[""Yoga/Pilates"", ""Swimming""]","[""Remove screens from bedrooms e.g. TV, cell phone"", ""Have a bath"", ""Have herbal tea"", ""Have warm milk""]","[""Heavy meal"", ""Alcohol""]"
46,4583028576.0,Female,35-44,Low,"[""Parents""]",3.0,"[""Stress control methods"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""Prevent health conditions in later life"", ""Have more energy""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low cholesterol"", ""Low sugar""]","[""Eating out at places that have healthy options available"", ""Watching the size of my portions"", ""Snacking less often""]",Few times a month,"[""Walking""]","[""Have warm milk""]","[""Heavy meal""]"
47,26773310.0,Male,25-34,High,"[""Partner / spouse"", ""Parents"", ""Other family members""]",5+,"[""Meditation / positive mindset methods"", ""Eat healthily"", ""Exercise regularly""]","[""To set a good example for my family"", ""To support my family"", ""Prevent health conditions in later life""]","[""Low sugar""]","[""Cooking more meals at home""]",3+ times a week,"[""Running""]","[""Meditate"", ""Have warm milk""]","[""Heavy meal"", ""Watching TV""]"
48,1249547247.0,Male,18-24,High,"[""Parents""]",5+,"[""Eat healthily"", ""Exercise regularly"", ""Stay hydrated""]","[""To lose / manage my weight"", ""Feeling good about myself""]","[""Vegetarian: eat no meat or fish""]","[""Watching the size of my portions""]",Twice a week,"[""Running"", ""Cycling""]","[""No, none of these""]","[""Caffeine"", ""Alcohol"", ""Heavy meal""]"
49,3467505591.0,Male,18-24,High,"[""Partner / spouse""]",3.0,"[""Exercise regularly""]","[""To improve my sleep"", ""Feeling good about myself"", ""To lose / manage my weight""]","[""Low salt""]","[""Making an effort to find healthy recipes""]",3+ times a week,"[""Hiking""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Caffeine""]"
50,1601484149.0,Male,35-44,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Stay hydrated"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Taking time to relax""]","[""To improve brain function/ memory"", ""To live longer"", ""Specific event (e.g. holiday, wedding)""]","[""Low salt""]","[""Cooking more meals at home"", ""Trying to have a variety of colors on my plate"", ""Checking / reading the ingredients in food / drink products"", ""Making an effort to find healthy recipes"", ""Eating out / ordering takeout less frequently"", ""Checking nutritional value of the food / drink I purchase"", ""Filling half my plate with vegetables""]",Once a week,"[""Running"", ""Aerobics"", ""Weights"", ""Walking""]","[""Other""]","[""Caffeine""]"
57,6987926964.0,Female,45+,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Taking time to relax"", ""Eat healthily"", ""Stress control methods"", ""Make sure I get enough sleep""]","[""To lose / manage my weight"", ""Feeling good about myself"", ""To live longer""]","[""None of the above""]","[""Cooking more meals at home"", ""Snacking less often"", ""Counting / tracking calories"", ""Watching the size of my portions""]",Few times a month,"[""Yoga/Pilates"", ""Swimming"", ""Cycling"", ""Walking""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal"", ""Checking emails""]"
60,5953679300.0,Male,35-44,Low,"[""Children under 18 years old""]",5+,"[""Eat healthily"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""Prevent health conditions in later life"", ""Feeling good about myself"", ""To lose / manage my weight""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Gluten / wheat free"", ""High protein""]","[""Making an effort to find healthy recipes"", ""Cooking more meals at home"", ""Counting / tracking calories"", ""Shopping at places that have a wide selection of healthy options""]",3+ times a week,"[""Strength training"", ""Running"", ""Cycling"", ""Swimming"", ""Walking""]","[""No, none of these""]","[""No, none of these""]"
62,1530218349.0,Female,25-34,Medium,"[""Partner / spouse""]",2.0,"[""Taking time to relax"", ""Stress control methods"", ""Take vitamin / other supplements"", ""Stay hydrated"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""Specific event (e.g. holiday, wedding)"", ""To lose / manage my weight"", ""Feeling good about myself""]","[""Low sugar"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Trying to have a variety of colors on my plate"", ""Snacking less often"", ""Eating dessert less often"", ""Making an effort to find healthy recipes""]",Once a week,"[""Yoga/Pilates"", ""Walking"", ""Spinning"", ""Running""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal""]"
64,6920756868.0,Male,18-24,High,"[""Parents""]",5+,"[""Make sure I get enough sleep"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""To lose / manage my weight"", ""Have more energy"", ""To make the most out of/enjoy life""]","[""Keto""]","[""Counting / tracking calories""]",3+ times a week,"[""Strength training"", ""Running""]","[""Have a bath""]","[""Alcohol""]"
68,3602231070.0,Female,18-24,Medium,"[""Parents""]",5+,"[""Drink lots of water / fluids""]","[""To support my family"", ""To improve my sleep"", ""To improve brain function/ memory""]","[""High protein"", ""Low salt"", ""Low calorie"", ""Pescatarian: eat no meat""]","[""Eating out at places that have healthy options available"", ""Eating dessert less often"", ""Filling half my plate with vegetables""]",Few times a month,"[""Yoga/Pilates"", ""Walking""]","[""No, none of these""]","[""Watching TV"", ""Browsing on my cell phone / tablet""]"
75,1218046974.0,Female,45+,High,"[""Children over 18 years old"", ""Partner / spouse""]",3.0,"[""Eat healthily"", ""Exercise regularly""]","[""To live longer"", ""Prevent health conditions in later life"", ""Feeling good about myself""]","[""Low sugar"", ""Low calorie""]","[""Counting / tracking calories"", ""Making an effort to find healthy recipes"", ""Eating dessert less often""]",Once a week,"[""Walking"", ""Cycling""]","[""No, none of these""]","[""No, none of these""]"
76,6581904570.0,Female,18-24,High,"[""Children under 18 years old"", ""Children over 18 years old"", ""Parents""]",4.0,"[""Drink lots of water / fluids"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""Have more energy""]","[""Flexitarian: eat meat but control the amount eaten"", ""Dairy free""]","[""Eating out / ordering takeout less frequently"", ""Filling half my plate with vegetables"", ""Cooking more meals at home""]",Less often,,"[""Take sleeping tablets""]","[""Caffeine""]"
78,3878082336.0,Male,45+,High,"[""Partner / spouse"", ""Children under 18 years old""]",3.0,"[""Drink lots of water / fluids"", ""Taking time to relax""]","[""To set a good example for my family"", ""To make the most out of/enjoy life"", ""Feeling good about myself""]","[""Low salt"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Watching the size of my portions"", ""Trying to have a variety of colors on my plate""]",Once a week,"[""Walking"", ""Cycling""]","[""No, none of these""]","[""Caffeine""]"
79,3896490037.0,Female,45+,Medium,"[""Partner / spouse"", ""Children over 18 years old""]",4.0,"[""Eat healthily"", ""Stay hydrated"", ""Exercise regularly"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""To improve my sleep"", ""To manage a health / medical condition"", ""To improve brain function/ memory""]","[""None of the above""]","[""Eating dessert less often"", ""Cooking more meals at home"", ""Snacking less often""]",3+ times a week,"[""Walking""]","[""No, none of these""]","[""Heavy meal""]"
80,904154804.0,Male,46-55,Low,"[""I live alone""]",,"[""Taking time to relax""]","[""Have more energy""]","[""None of the above""]","[""Snacking less often""]",Never,,"[""No, none of these""]","[""Checking emails""]"
81,1189173122.0,Male,18-24,Low,"[""Partner / spouse""]",2.0,"[""Taking time to relax"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Stress control methods""]","[""Feeling good about myself"", ""To live longer""]","[""Low salt"", ""Low calorie""]","[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase""]",3+ times a week,"[""Weights"", ""Strength training"", ""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""Heavy meal"", ""Caffeine""]"
82,3338629796.0,Male,35-44,High,"[""Children under 18 years old""]",4.0,"[""Drink lots of water / fluids"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""To set a good example for my family"", ""Prevent health conditions in later life"", ""To make the most out of/enjoy life""]","[""Halal"", ""Specific diet - specify"", ""Low sugar""]","[""Eating dessert less often""]",3+ times a week,"[""Weights""]","[""Have warm milk""]","[""Caffeine""]"
83,936776638.0,Female,45+,Low,"[""Parents""]",,"[""Take vitamin / other supplements"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Stress control methods"", ""Taking time to relax"", ""Meditation / positive mindset methods"", ""Exercise regularly""]","[""Have more energy"", ""To make the most out of / enjoy life"", ""To improve brain function/ memory""]","[""Low sugar"", ""Low / zero carb"", ""High protein""]","[""Trying to have a variety of colors on my plate"", ""Eating dessert less often"", ""Watching the size of my portions"", ""Filling half my plate with vegetables"", ""Making an effort to find healthy recipes""]",3+ times a week,"[""Aerobics"", ""Running"", ""Walking"", ""Strength training"", ""Weights""]","[""Take sleeping tablets""]","[""Caffeine"", ""Heavy meal"", ""Checking emails""]"
85,5959344356.0,Female,35-44,Low,"[""Other family members""]",5+,"[""Meditation / positive mindset methods""]","[""To support my family"", ""Feeling good about myself"", ""To set a good example for my family""]","[""Low sugar""]","[""Checking / reading the ingredients in food / drink products""]",Never,,"[""Have warm milk""]","[""Watching TV""]"
87,1851834600.0,Female,35-44,High,"[""Partner / spouse"", ""Children under 18 years old""]",3.0,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To support my family"", ""To set a good example for my family""]","[""None of the above""]","[""Filling half my plate with vegetables""]",Never,,"[""No, none of these""]","[""Watching TV""]"
89,5660006853.0,Female,45+,Medium,"[""Partner / spouse""]",4.0,"[""Exercise regularly""]","[""To make the most of treats / indulgent moments"", ""To make the most out of/enjoy life""]","[""High protein""]","[""Eating out at places that have healthy options available"", ""Shopping at places that have a wide selection of healthy options""]",Twice a week,"[""Running""]","[""Meditate""]","[""Heavy meal""]"
91,4085268999.0,Male,25-34,Medium,"[""Partner / spouse""]",3.0,"[""Take vitamin / other supplements"", ""Meditation / positive mindset methods"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""To manage a health / medical condition"", ""To set a good example for my family"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Halal""]","[""Checking / reading the ingredients in food / drink products"", ""Cooking more meals at home"", ""Watching the size of my portions"", ""Making an effort to find healthy recipes""]",3+ times a week,"[""Running"", ""Weights"", ""Walking""]","[""No, none of these""]","[""Checking emails"", ""Browsing on my cell phone / tablet"", ""Watching TV""]"
92,845188170.0,Male,35-44,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Exercise regularly"", ""Drink lots of water / fluids"", ""Eat healthily""]","[""To improve my sleep"", ""To lose / manage my weight"", ""Feeling good about myself""]","[""Low cholesterol"", ""Dairy free"", ""Low salt""]","[""Cooking more meals at home"", ""Filling half my plate with vegetables"", ""Eating out at places that have healthy options available""]",3+ times a week,"[""Aerobics"", ""Weights"", ""Walking""]","[""Have warm milk""]","[""Heavy meal""]"
96,7938156945.0,Male,35-44,Medium,"[""Parents""]",4.0,"[""Taking time to relax"", ""Exercise regularly""]","[""To live longer"", ""Have more energy""]","[""Flexitarian: eat meat but control the amount eaten"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Organic""]","[""Counting / tracking calories"", ""Eating out at places that have healthy options available""]",3+ times a week,"[""Strength training"", ""Running""]","[""Have a bath""]","[""Alcohol"", ""Caffeine"", ""Heavy meal""]"
98,5231333862.0,Female,45+,High,"[""Partner / spouse"", ""Children over 18 years old"", ""Other family members""]",4.0,"[""Meditation / positive mindset methods"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Stay hydrated"", ""Exercise regularly"", ""Taking time to relax""]","[""Prevent health conditions in later life"", ""To improve my sleep"", ""To improve brain function/ memory""]","[""Specific diet - specify"", ""Vegan: eat no meat, fish, or dairy"", ""Vegetarian: eat no meat or fish""]","[""Cooking more meals at home"", ""Making an effort to find healthy recipes""]",Less often,,"[""Meditate"", ""Have a bath"", ""Have herbal tea""]","[""Heavy meal"", ""Caffeine"", ""Alcohol""]"
99,1146237309.0,Female,45+,High,"[""Partner / spouse"", ""Children over 18 years old""]",2.0,"[""Make sure I get enough sleep"", ""Eat healthily"", ""Exercise regularly"", ""Stay hydrated"", ""Drink lots of water / fluids""]","[""To make the most out of/enjoy life"", ""To live longer"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Flexitarian: eat meat but control the amount eaten"", ""Low salt"", ""Low sugar""]","[""Trying to have a variety of colors on my plate"", ""Making an effort to find healthy recipes"", ""Snacking less often"", ""Cooking more meals at home"", ""Filling half my plate with vegetables""]",Twice a week,"[""Weights"", ""Hiking"", ""Swimming"", ""Walking""]","[""Remove screens from bedrooms e.g. TV, cell phone"", ""Have warm milk""]","[""Browsing on my cell phone / tablet"", ""Caffeine"", ""Heavy meal"", ""Alcohol""]"
101,6201189388.0,Male,18-24,Medium,"[""Other family members""]",5+,"[""Stay hydrated"", ""Take vitamin / other supplements"", ""Taking time to relax"", ""Stress control methods"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Eat healthily""]","[""To manage a health / medical condition"", ""Prevent health conditions in later life"", ""To improve brain function/ memory""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Flexitarian: eat meat but control the amount eaten"", ""Halal""]","[""Watching the size of my portions"", ""Checking / reading the ingredients in food / drink products""]",Few times a month,"[""Running""]","[""No, none of these""]","[""Watching TV"", ""Caffeine"", ""Browsing on my cell phone / tablet""]"
102,1485721965.0,Male,45+,High,"[""Partner / spouse""]",2.0,"[""Taking time to relax"", ""Eat healthily"", ""Stay hydrated"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""Have more energy"", ""To live longer"", ""To support my family""]","[""Low sugar""]","[""Intermittent fasting"", ""Snacking less often"", ""Eating out at places that have healthy options available"", ""Eating dessert less often"", ""Filling half my plate with vegetables""]",Less often,,"[""No, none of these""]","[""Alcohol""]"
